FSR1,FSR2,FSR3,FSR4,Position
554.47,586.71,820.22,694.19,Ideal Position
554.47,586.71,812.41,700.05,Ideal Position
583.78,582.8,824.13,663.9,Ideal Position
565.22,597.46,746.95,718.61,Ideal Position
551.54,599.41,657.06,756.72,Ideal Position
607.23,608.21,701.03,593.55,Ideal Position
596.48,595.51,723.5,685.39,Ideal Position
597.46,599.41,751.83,670.74,Ideal Position
588.67,586.71,766.49,730.34,Ideal Position
588.67,589.64,759.65,731.31,Ideal Position
590.62,590.62,753.79,738.15,Ideal Position
589.64,595.51,733.27,748.9,Ideal Position
510.5,601.37,718.61,782.12,Ideal Position
0.49,617.98,0.49,876.89,Leaning Right
0.49,606.25,0.49,855.4,Leaning Right
0.49,616.02,0.49,840.74,Leaning Right
0.49,618.95,0.49,838.79,Leaning Right
0.49,618.95,0.49,839.77,Leaning Right
0.49,617.98,0.49,832.93,Leaning Right
0.49,617.98,0.49,851.49,Leaning Right
0.49,617.98,0.49,852.47,Leaning Right
0.49,617.0,0.49,850.51,Leaning Right
0.49,617.98,0.49,849.54,Leaning Right
0.49,617.0,0.49,851.49,Leaning Right
447.0,621.89,0.49,866.15,Leaning Right
589.64,0.49,911.09,0.49,Unknown
608.21,0.49,915.97,0.49,Leaning Left
611.14,0.49,919.88,0.49,Leaning Left
624.82,0.49,915.97,0.49,Leaning Left
614.07,0.49,919.88,0.49,Leaning Left
608.21,0.49,918.91,0.49,Leaning Left
620.91,0.49,916.95,0.49,Leaning Left
618.95,0.49,917.93,0.49,Leaning Left
614.07,0.49,917.93,0.49,Leaning Left
613.09,0.49,917.93,0.49,Leaning Left
614.07,0.49,917.93,0.49,Leaning Left
613.09,0.49,918.91,0.49,Leaning Left
612.12,0.49,915.0,0.49,Leaning Left
614.07,0.49,915.97,0.49,Leaning Left
618.95,0.49,914.02,0.49,Leaning Left
624.82,612.12,824.13,0.49,Unknown
602.34,598.44,509.53,690.28,Ideal Position
596.48,594.53,297.51,670.74,Unknown
616.02,602.34,0.49,717.64,Unknown
515.39,601.37,46.41,809.48,Unknown
0.49,0.49,363.95,831.95,Unknown
0.49,0.49,910.11,778.21,Forward Leaning
397.17,0.49,905.23,827.06,Forward Leaning
389.35,0.49,899.36,800.68,Forward Leaning
372.74,70.84,873.96,808.5,Forward Leaning
409.87,10.26,855.4,816.32,Forward Leaning
465.56,11.24,861.26,812.41,Forward Leaning
427.45,6.35,861.26,814.36,Forward Leaning
424.52,0.49,862.24,814.36,Forward Leaning
228.14,0.49,863.21,813.39,Forward Leaning
0.49,0.49,858.33,780.17,Forward Leaning
148.02,0.49,860.28,792.87,Forward Leaning
154.86,0.49,832.93,820.22,Forward Leaning
533.95,476.31,844.65,810.45,Unknown
634.59,601.37,761.6,688.32,Ideal Position
